,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
525,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailPILEUPup,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Up,shapes,1.0,PILEUP,
526,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailPILEUPdown,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Down,shapes,1.0,PILEUP,
527,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailPDFup,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Up,shapes,1.0,PDF,
528,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailPDFdown,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Down,shapes,1.0,PDF,
529,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailJESup,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Up,shapes,1.0,JES,
530,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailJESdown,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Down,shapes,1.0,JES,
531,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailJERup,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Up,shapes,1.0,JER,
532,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailJERdown,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Down,shapes,1.0,JER,
533,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailBTAGup,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Up,shapes,1.0,BTAG,
534,16_signalZPrime3000_DM,cen2bFail,default,1,SIGNAL,1.0,btag,/afs/cern.ch/user/m/mmorris/public/ttbarAllHad/twodalphabet/Run2_deepak8_medium_categories/TTbarAllHad16_signalZPrime3000_DM.root,MttvsMtcen2bFailBTAGdown,16_signalZPrime3000_DM,g_{RS} (3 TeV),,Down,shapes,1.0,BTAG,
